Емельяновой Христине
Пименам Богдану
Хайбулину Матвею
Нестерову Тамилу
Тахтарам Карену
Юровой Дарье
Смолякам Евстафию
Никитину Марату
Петренко Богдану
Тагировой Дануте
Скобелеву Илье
Хуторской Диане
Жукову Добрыне
Фадеевой Наталье
Щекинам Луке
Цыкине Кассандре
Кудрявцевой Елене
Лыткине Марии
Макаровой Эмилии
Юртаеве Алисе
Слепнёвой Клавдии
Марковой Искре
Фокину Аэлиту
Рыковой Алевтине
Крюковой Юнии
Капустину Эрику
Шпаковой Монике
Тагировой Софии
Корнилову Людвигу
Лихачёву Нинели
Шумейко Юрию
Шутиковому Владимиру
Ямпольскому Вацлаву
Цуканову Олимпиаде
Ульянову Захару
Потехину Павлину
Макееву Петру
Гавриловой Кассандре
Худякову Карлу
Волковой Лукерье
Рахмановой Элле
Сычёву Эмилю
Фомичёву Платону
Комарам Кузьме
Худякову Марту
Щитовой Лине
Михайленко Станиславу
Щукиной Доре
Никифоровой Таисии
Школьникам Демиду
Чеботарёву Оресту
Спицину Юдифи
Агафоновой Леокадии
Максимовой Анжелике
Жданову Артёму
Грищенко Монике
Грачёвой Музе
Ткаченко Фаине
Лапинам Даниилу
Русакове Зинаиде
Шпилькинам Владимиру
Юшкове Роксане
Мельникову Казимиру
Овчинникам Захару
Цветковому Алексею
Савину Тимуру
Чудакам Эрику
Ракову Лауре
Дроздам Степану
Андрееву Валерию
Грищенко Гавриилу
Цветковому Никите
Чекалину Роберту
Шумам Артуру
Соболеву Кириллу
Сазонову Павлину
Савину Ингрид
Шумову Богдану
Тыняновой Аполлинарию
Серовой Амалии
Мамонтову Глебу
Ястребове Иветте
Кондратенко Денису
Плюсниной Фатиме
Таланкиной Глафире
Борисенко Светлане
Кулаковой Эмме
Сердюкову Тамилу
Ольховскому Олегу
Русскому Феликсу
Антоненко Ольге
Олейникову Родиону
Чухланцевой Пелагее
Голубевшему Виссариону
Зорину Яну
Давыденко Карлу
Алексееву Алану
Галкину Николаю
Хайдарам Герману
Чулкове Светлане
Штейну Алиму
Гусевой Розалии
Стрелкове Эрнестине
Бычковой Лауре
Кольцову Владимиру
Чебурашкиной Дануте
Сурковой Дарье
Щербатыху Дануте
Олейникову Людвигу
Беляеву Карлу
Черемисину Эдгару
Табакову Якову
Румянцевой Аиде
Шторму Богдану
Ясногорскому Егору
Красильникову Евстафию
Спицин Елене
Фалалеевой Амалии
Чудам Эмилю
Шмырёву Авдотье
Сумарокову Брониславу
Дьячковой Флоре
Шуйскому Ярославу
Лаптеву Елисею
Жарову Сергею
Яхонтовой Юлии
Талдыкине Флоре
Трусовой Еве
Клюеву Мстиславу
Александренко Соломону
Панину Добрыне
Опарину Всеволоду
Миронову Геннадию
Малышеву Ярославу
Шипилам Всеволоду
Углову Хаве
Талдыкинам Якову
Шаламову Андрею
Фирсове Алисе
Чекалиной Монике
Никифоровой Раисе
Левченко Франсуазе
Шостак Аркадий
Потехину Жаклин
Яшкове Ядвиге
Сотникам Нестору
Ефимовой Зинаиде
Резниковой Джульетте
Кузьменко Ирине
Алексеевой Елене
Потехину Николаю
Куликову Анатолию
Кондратенко Леонтию
Зорину Геннадию
Шатиловой Таисии
Зимину Семёну
Мухиной Амалии
Пестову Элизе
Ольховской Анне
Пыжовой Лукерье
Фёдоровой Надежде
Томилинам Леониду
Самсонову Берту
Часовитиной Клавдии
Голубевой Ольге
Меркушеве Ренате
Телегиной Сабрине
Фирсове Габриэлле
Ярулинам Андрею
Фомченко Ладе
Файзулинам Григорию
Шипуновой Капитолине
Лагутину Артуру
Шестакову Максиму
Власенко Эвелине
Клименко Дину
Клюеву Яну
Углам Валентину
Шелухине Сусанне
Стукаловой Фаине
Шульц Данной
Тузам Климу
Тарасовой Амалии
Летову Лану
Печёнкиной Диане
Рябовой Руфине
Романовой Цецилии
Чижову Матвею
Басовой Карине
Юнкерам Карлу
Яворскому Арсению
Хасановой Ренате
Скворцовой Сильвии
Максимам Вячеславу
Трофимам Гавриилу
Сычёву Климу
Чулкам Брониславу
Столярову Ярославу
Белоусам Станиславу
Балашову Раисе
Юферам Евгению
Усанам Антону
Смолину Матвею
Розовому Захару
Горбуновой Аполлинарию
Зеленину Брониславу
Фоновой Музе
Часовитиной Вере
Тимошенко Ксении
Чемакине Наталье
Ромашину Роберту
Розовой Нонне
Сердюкову Леониду
Яралову Нифонту
Сумарокову Степану
Дёмину Дмитрию
Малахову Якову
Чапаевой Вере
Почечуевой Людмиле
Николаенко Анатолию
Цыкинам Валерию
Яснова Лидия
Стукаловому Анатолию
Макаренко Элле
Талдыкине Лине
Элькинам Харитону
Чудакам Людвигу
Цигановому Семёну
Тепловой Беатрисе
Черкасову Якову
Рыбаковой Лауре
Шунькому Чеславу
Кузине Ренате
Михайловой Прасковье
Литвиненко Таисии
Савину Игнату
Скворцовой Кристине
Некрасову Леониду
Цуканам Дмитрию
Шамаеве Розалии
Яруниной Регин
Серебряковой Наталии
Ратникам Ярославу
Яруниной Дануте
Фетисову Валентину
Щепкинам Александру
Шлеину Владу
Кузнецовой Грете
Мокинам Кириллу
Рябининой Авроре
Алексееву Ростиславу
Тупикам Семёну
Рагозину Андрею
Новиковой Аполлинарию
Шемякиной Жанне
Коновалову Лику
Стукаловому Ивану
Бобровой Лилии
Ястребам Давиду
Тутуковой Ульяне
Рязановой Леокадии
Герасимову Дмитрию
Цыкине Елизавете
Чевакину Яну
Холодовой Франсуазе
Денисову Нифонту
Парамонову Дину
Хворостухину Эдуарду
Чаусам Захару
Милосердовой Вере
Панасенко Степану
Чичериной Норе
Якимовой Авроре
Якуниной Сабрине
Кузьменко Сусанне
Рыжкову Брониславу
Шапошникову Дмитрию
Мишину Казимиру
Марченко Эдите
Хозяиновому Лаврентию
Туркове Эрику
Чубарову Юлиану
Прохорову Геннадию
Серебряковой Иде
Штоколову Виктору
Янчуку Андрею
Тарасовой Ларисе
Осиповой Аиде
Смирновой Владу
Углову Брониславу
Тимофееву Алексею
Евдокимовой Ангелине
Шарифуллину Карлу
Лапшиной Сильвии
Юргановой Евдокии
Ситниковому Лаврентию
Третьяковой Иде
Емельянову Филиппу
Рязанову Павлу
Хромовому Юрию
Петухам Кириллу
Овсянниковой Евдокии
Самойловой Глафире
Кудрявцеву Евгению
Ельцовой Элине
Литвиненко Фредерику
Павлюченко Карине
Щеголеву Нестору
Усатам Владиславу
Скрипкинам Валерию
Шеину Савве
Дементьеву Сергею
Кузьминой Елене
Шмакам Нифонту
Ястребам Григорию
Хлебникову Карену
Ясенецкому Захару
Ясенецкому Ивану
Даниленко Вацлаву
Копыловой Капитолине
Сорокину Игнату
Шуваловой Лидии
Чудаковой Эрнестине
Жарову Тарасу
Царегородцеву Тимуру
Шакирову Ленину
Эйзенштейну Борису
Шерстневшему Вадиму
Тимошенко Эрнестине
Мельниченко Карену
Пименовой Марии
Короленко Марату
Озерову Карлу
Антонову Цезарю
Логиновой Аиде
Сёминой Габриэлле
Фомичёву Даниилу
Усатовой Инессе
Зотову Святославу
Шургановой Лиане
Щекину Ларисе
Щенникам Леонтию
Кабановой Глафире
Эйдельман Сусанне
Луневу Ярославу
Савченко Евстафию
Сушковому Валентину
Шатовой Лауре
Терещенко Милене
Щелканам Кузьме
Ячменёвой Ядвиге
Лыковой Зое
Слободчикам Оресту
Шулеповой Диане
Прокопенко Ирине
Шпагиной Анжелике
Кочергиной Божене
Тузам Эмилю
Ястребам Семёну
Пономарёву Фёдору
Муравьям Василию
Шаталову Леонтию
Чуркину Лану
Чечели Геннадию
Шлеину Льву
Шкуратам Карлу
Суворовой Ксении
Щукиной Леокадии
Юрлову Иде
Янченко Владиславу
Савельеву Денису
Сурковой Илоне
Щербатому Станиславу
Соломинам Альберту
Чеботарёвой Людмиле
Широкову Евгению
Яхонтовой Дину
Шмулевич Оресту
Ларионову Игнату
Мартыненко Станиславу
Любимову Константину
Шкловскому Иосифу
Самсоновой Ефросинье
Носкам Карену
Харченко Вячеславу
Шнайдер Галине
Ушакову Климу
Урбанам Антону
Ярыгину Ярославу
Овсянниковой Ефросинье
Шабанам Петру
Хасанам Алексею
Черёмному Денису
Черняеву Дину
Макаровой Алле
Красовской Беатрисе
Рыбкину Цезарю
Ульяновой Агате
Рябининой Фаине
Шугаеву Ингрид
Мокине Лидии
Эйдельману Нинели
Тыняновой Аэлиту
Гончаренко Екатерине
Усановой Фриду
Юхнине Земфире
Шапошниковой Глафире
Железновой Ираиде
Хитрову Фоме
Лыковому Максимилиану
Шмаковой Анне
Юргенсну Еремею
Садиковой Алисе
Захаровой Лиане
Поварам Людвигу
Селиверстовой Аиде
Тихомирову Степану
Ярову Яну
Сокольской Эвелине
Соломинам Эмилю
Шкловскаю Ольге
Евсееву Андрею
Фетисову Харитону
Комиссарову Богдану
Рыжкову Платону
Савельевой Матильде
Федченко Давиду
Соломатиной Калерии
Шмонинам Валентину
Слободчиковой Римме
Панину Лику
Шубину Елисею
Максимовой Тамаре
Шиловой Элине
Чемодановой Эльзе
Белоусам Богдану
Янушкевичу Марку
Распутину Тамилу
Шаталову Аполлинарию
Москвиной Иде
Плотникам Руслану
Шумилову Кириллу
Бычковой Олимпиаде
Баранову Филиппу
Олимам Вениамину
Гавриловой Алисе
Ярмак Виктору
Шелеповой Алисе
Александренко Борису
Поляковой Зое
Марченко Искре
Орехову Татьяне
Рыковой Марине
Уварам Еремею
Штоколову Брониславу
Чёрному Павлу
Александренко Изольде
Челышеву Валерию
Шорину Злату
Мышкиной Эрнестине
Янсну Эмилю
Фоновому Аристарху
Юрченко Иосифу
Масловой Олимпиаде
Пряхину Эмилии
Чирикову Тимуру
Маслову Елисею
Шелесту Нифонту
Соловьёву Станиславу
Самсонам Павлу
Яруниной Джульетте
Зуевой Ренате
Петровой Милене
Бирюкову Чеславу
Юрлову Ариадне
Бобровой Тамаре
Ячменёву Евстафию
Марченко Иде
Печёнкину Виктору
Лыковой Ефросинье
Шаталовой Лолите
Шапошникову Гавриилу
Юкину Тимуру
Ульянову Юлиану
Уваровой Марии
Тагирам Эльдару
Юкиной Светлане
Серову Владиславу
Ходжаям Григорию
Поповой Элле
Щербатыху Галине
Щукиной Музе
Савельеву Илье
Плетнёву Ростиславу
Левину Фредерику
Тулупам Якову
Грачёвой Дануте
Янчуку Владу
Окуневой Елизавете
Чихачёву Матвею
Щетинину Степану
Королеве Розалии
Трофимовой Калерии
Ушаковой Руфине
Станкевичу Степану
Ромашину Богдану
Павлюченко Соломону
Червяковой Элле
Якушине Фатиме
Тепловой Татьяне
Яровой Изольде
Платоновой Анне
Селивановой Иветте
Шемякиной Татьяне
Скоробогатову Филиппу
Басовому Ростиславу
Шахову Владиславу
Кузнецову Вилену
Сидоренко Элизе
Зверевой Пелагее
Алексеенко Игнату
Луневу Константину
Соснине Агнессе
Фёдорову Василию
Прокопьевой Норе
Чемакине Светлане
Стародубцеву Оресту
Шпилевому Владимиру
Мамонтову Сильвии
Молчанову Карену
Гуляеву Геннадию
Яшковам Даниилу
Якубам Карену
Шуляку Клавдии
Савченко Кириллу
Толстикову Всеволоду
Гордеевой Ренате
Лапине Эвелине
Сапожниковой Марине
Николаеву Карену
Шакирам Савве
Шургановой Брониславу
Гуляевой Олимпиаде
Чадам Фоме
Беловой Нонне
Топорову Вадиму
Устиновой Авроре
Садовникову Злату
Зверевшему Олегу
Чудам Харитону
Солнцеву Вениамину
Медведевой Нонне
Якубове Яну
Жарову Брониславу
Шамрайу Дануте
Чапаеву Богдану
Тюриной Грете
Михееву Харитону
Лобановой Иде
Самойлову Петру
Филимонам Тимуру
Гуляевой Амалии
Сазанам Карлу
Семененко Регину
Дёминой Регин
Луценко Тимофею
Эренбургу Руслану
Яшновой Лине
Гурьеву Глебу
Чеботарёвой Снежане
Лукоянову Добрыне
Левину Юлию
Саввиной Элле
Щедрину Ростиславу
Куприяновой Авдотье
Смирновой Сусанне
Чуйковой Веронике
Андрееву Елисею
Свешниковой Доре
Стародубцеву Тимуру
Беляеву Глебу
Фокину Лаврентию
Гаврилам Дмитрию
Шаманам Ростиславу
Федоренко Фаине
Рубцову Георгию
Сидоровой Ефросинье
Рубцову Эдуарду
Пышкинам Глебу
Сердюкову Филиппу
Шостак Богдан
Солнцеву Константину
Бирюковой Лолите
Тахтарам Луке
Ярыгиной Инне
Щенникам Николаю
Чумакову Дильнаре
Селивановой Ангелине
Сучковому Эдуарду
Щукиной Софии
Капустину Максимилиану
Черноусову Соломону
Старикову Казимиру
Чемоданам Феликсу
Софронам Николаю
Рыбкиной Франсуазе
Мамонтову Даниилу
Прохоровой Вере
Васильеву Анатолию
Лебедевой Лине
Потехину Лику
Трубину Геннадию
Шикину Борису
Храпко Павлину
Хайкинам Евстафию
Борисенко Савве
Пономарёву Алену
Пивоварову Климу
Ломакину Герману
Ляпуновой Монике
Яхонтовому Адаму
Ярусам Фоме
Матвеевой Гражине
Романенко Яну
Шлеину Антонину
Турбинам Станиславу
Лукоянову Лауре
Ярыгиной Элеоноре
Сидорову Майя
Чувашовой Эрнестине
Эйдельман Таисии
Селиверстову Вилену
Фуфаеве Кассандре
Тонкому Эмилю
Шувалову Леону
Борисовой Ладе
Сазанову Ингрид
Субботине Розалии
Яшновой Ираиде
Мышкину Тимуру
Шишовой Эмме
Чичерину Антонину
Лазареву Святославу
Разумову Евгению
Фединому Савве
Козыреву Борису
Сердюкову Виталию
Лосевой Вере
Москвину Александру
Алексеенко Леону
Целиковой Лине
Ярулинам Валентину
Селезнёву Ивану
Шишмаревому Филиппу
Пестам Альберту
Шестаковой Инессе
Яськове Стелле
Шамрайу Мелании
Гаврилам Борису
Шелковникову Тамилу
Козлову Вячеславу
Рогову Сергею
Чекалину Степану
Шпилевому Эльдару
Филиппам Григорию
Масленникам Марату
Казаковой Кире
Зверевшему Алексею
